id,en,bn
1,judge,বিচারক
2,magistrate,ম্যাজিস্ট্রেট
3,minister,মন্ত্রী
4,secretary to the government,সচিব
5,surgeon,শল্যচিকিৎসক
6,doctor,ডাক্তার
7,professor,অধ্যাপক
8,scientist,বিজ্ঞানী
9,engineer,প্রকৌশলী
10,lawyer,আইনজীবী
11,architect,স্থপতি
12,pilot,বিমানচালক
13,bank manager,ব্যাংক ব্যবস্থাপক
14,principal,অধ্যক্ষ
15,colonel,কর্নেল
16,diplomat,কূটনীতিক
17,freedom fighter,মুক্তিযোদ্ধা
18,imam,ইমাম
19,poet,কবি
20,writer,লেখক
21,gynaecologist,স্ত্রীরোগ বিশেষজ্ঞ
22,journalist,সাংবাদিক
23,teacher,শিক্ষক
24,head teacher,প্রধান শিক্ষক
25,lecturer,প্রভাষক
26,accountant,হিসাবরক্ষক
27,police officer,পুলিশ কর্মকর্তা
28,pharmacist,ফার্মাসিস্ট
29,librarian,গ্রন্থাগারিক
30,nurse,নার্স
31,midwife,ধাত্রী
32,NGO worker,এনজিও কর্মী
33,singer,গায়ক
34,actor,অভিনেতা
35,dancer,নৃত্যশিল্পী
36,painter,চিত্রশিল্পী
37,photographer,আলোকচিত্রী
38,clerk,কেরানি
39,typist,টাইপিস্ট
40,receptionist,অভ্যর্থনাকারী
41,shopkeeper,দোকানদার
42,tailor,দর্জি
43,electrician,ইলেকট্রিশিয়ান
44,mechanic,মিস্ত্রি
45,driver,চালক
46,soldier,সৈনিক
47,farmer,কৃষক
48,beautician,বিউটিশিয়ান
49,madrasa teacher,মাদ্রাসা শিক্ষক
50,community health worker,স্বাস্থ্যকর্মী
51,carpenter,কাঠমিস্ত্রি
52,blacksmith,কামার
53,potter,মৃৎশিল্পী
54,weaver,তাঁতি
55,fisherman,জেলে
56,barber,নাপিত
57,cobbler,মুচি
58,washerman,ধোপা
59,cook,বাবুর্চি
60,waiter,ওয়েটার
61,security guard,নিরাপত্তারক্ষী
62,porter,কুলি
63,rickshaw puller,রিকশাচালক
64,day labourer,দিনমজুর
65,street vendor,ফেরিওয়ালা
66,garment worker,গার্মেন্টস কর্মী
67,domestic helper,গৃহকর্মী
68,maid,কাজের বুয়া
69,cleaner,পরিচ্ছন্নতাকর্মী
70,sweeper,ঝাড়ুদার
71,housewife,গৃহিণী
72,tea garden worker,চা শ্রমিক
